age,sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,ads_clicked_last_30_days,content_downloads,social_shares,rating_given,churn_risk_score,engagement_score,account_age_days
56,5,3.41,52.71,13,5,8,8,1,0,20,9,5,2,4.0,0.31,55.79,1152
46,8,24.44,42.03,7,7,3,7,0,0,7,8,3,3,3.0,0.87,82.39,1059
32,12,5.34,76.69,7,5,2,21,1,0,33,11,6,1,2.0,0.63,42.49,678
25,5,3.98,65.38,16,8,4,13,0,0,17,6,3,1,3.0,0.43,62.81,92
38,10,12.85,57.06,13,7,3,15,0,0,21,4,4,2,5.0,0.43,38.21,772
56,12,10.51,25.39,14,7,6,14,0,0,4,7,3,1,5.0,0.65,91.45,50
36,8,19.93,14.86,15,2,5,3,0,0,43,9,2,1,4.0,0.78,63.3,1161
40,6,6.81,36.47,14,9,2,3,0,0,16,5,6,4,1.0,0.51,84.81,104
28,7,26.47,64.74,14,3,3,19,0,2,43,6,3,5,4.0,0.08,72.85,989
28,8,29.84,47.77,10,6,4,19,0,0,25,3,4,2,3.0,0.19,55.92,373
41,9,6.45,51.42,8,5,6,22,2,0,35,3,6,3,4.0,0.38,56.02,1155
53,6,3.45,45.83,7,3,2,8,0,0,21,7,5,2,4.0,0.32,74.7,380
57,5,20.0,27.22,12,6,4,20,0,0,1,5,2,1,5.0,0.07,62.19,617
41,8,5.06,37.34,8,5,4,18,1,1,44,8,5,2,1.0,0.48,67.25,255
20,5,17.92,29.55,16,3,3,21,0,0,11,5,0,5,5.0,0.98,51.33,691
39,7,34.27,34.42,13,7,2,3,1,0,35,6,3,2,3.0,0.26,52.69,1130
19,7,16.36,65.07,8,9,7,11,0,0,29,8,1,3,4.0,0.25,73.52,618
41,6,16.89,74.7,6,6,6,24,2,0,5,9,1,1,3.0,0.21,100.0,24
47,10,13.69,70.42,9,4,2,18,0,0,14,4,5,2,4.0,0.14,51.37,37
55,7,10.02,41.47,7,5,4,16,0,0,34,5,2,0,3.0,0.84,68.99,306
19,6,13.24,27.44,16,2,4,19,1,0,44,4,2,1,4.0,0.65,70.46,1025
38,9,10.07,47.97,13,4,6,23,2,0,39,2,7,1,3.0,0.04,57.35,424
50,4,9.75,52.22,10,2,3,7,0,0,8,3,6,3,5.0,0.79,78.2,562
29,13,11.32,45.59,18,8,6,14,0,0,12,6,6,1,5.0,0.87,67.32,34
39,9,8.14,77.63,15,5,4,17,0,0,28,4,6,1,2.0,0.18,82.69,255
42,9,7.06,24.22,17,5,4,3,0,0,41,7,3,1,5.0,0.19,79.11,1021
