user_id,age,gender,country,device_type,app_version,sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,subscription_type,ads_clicked_last_30_days,content_downloads,social_shares,rating_given,churn_risk_score,engagement_score,account_age_days,marketing_source,cluster,user_category
100000,56,female,india,ios,2.1,5,3.41,52.71,13,5,8,8,1,0,20,basic,9,5,2,4.0,0.31,55.79,1152,referral,0,low_engagement_users
100002,32,female,uk,ios,1.2,12,5.34,76.69,7,5,2,21,1,0,33,free,11,6,1,2.0,0.63,42.49,678,google ads,0,low_engagement_users
100010,41,female,australia,ios,1.0,9,6.45,51.42,8,5,6,22,2,0,35,basic,3,6,3,4.0,0.38,56.02,1155,organic,0,low_engagement_users
100015,39,female,singapore,android,1.2,7,34.27,34.42,13,7,2,3,1,0,35,free,6,3,2,3.0,0.26,52.69,1130,organic,0,low_engagement_users
100017,41,female,usa,android,1.0,6,16.89,74.7,6,6,6,24,2,0,5,basic,9,1,1,3.0,0.21,100.0,24,organic,0,low_engagement_users
100020,19,female,usa,android,1.2,6,13.24,27.44,16,2,4,19,1,0,44,basic,4,2,1,4.0,0.65,70.46,1025,organic,0,low_engagement_users
100021,38,female,germany,android,2.1,9,10.07,47.97,13,4,6,23,2,0,39,free,2,7,1,3.0,0.04,57.35,424,referral,0,low_engagement_users
100029,33,female,india,android,1.1,8,6.52,26.01,16,5,2,9,2,0,38,free,7,4,3,5.0,0.33,71.47,96,referral,0,low_engagement_users
100031,20,other,india,android,1.0,18,27.97,96.2,18,4,4,4,1,0,43,basic,4,4,1,4.0,0.88,55.54,657,google ads,0,low_engagement_users
100037,35,male,usa,android,1.2,8,28.76,41.49,13,6,6,5,1,0,26,free,5,1,2,4.0,0.76,59.79,824,google ads,0,low_engagement_users
100042,43,female,singapore,web,2.0,9,7.9,49.39,14,3,1,13,1,0,32,free,5,7,2,4.0,0.55,75.46,321,organic,0,low_engagement_users
100043,19,female,canada,android,2.0,12,7.81,41.19,12,6,5,22,2,0,3,free,4,1,5,4.0,0.3,30.84,522,google ads,0,low_engagement_users
100051,53,female,singapore,android,1.2,8,26.34,45.67,8,9,1,4,2,0,4,free,8,0,0,5.0,0.14,56.76,1098,facebook ads,0,low_engagement_users
