user_id,age,gender,country,device_type,app_version,sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,subscription_type,ads_clicked_last_30_days,content_downloads,social_shares,rating_given,churn_risk_score,engagement_score,account_age_days,marketing_source,cluster,user_category
100008,28,female,germany,android,1.0,7,26.47,64.74,14,3,3,19,0,2,43,free,6,3,5,4.0,0.08,72.85,989,google ads,1,occasional_users
100013,41,male,usa,android,1.2,8,5.06,37.34,8,5,4,18,1,1,44,basic,8,5,2,1.0,0.48,67.25,255,organic,1,occasional_users
100028,45,female,germany,android,1.1,7,9.71,42.66,15,5,6,8,0,1,22,free,4,7,2,4.0,0.03,44.53,270,google ads,1,occasional_users
100041,26,female,singapore,web,1.1,11,24.4,45.43,16,9,8,8,0,1,5,free,5,3,2,4.0,0.44,50.22,164,organic,1,occasional_users
100048,52,female,india,android,1.0,7,6.79,46.89,14,4,6,18,1,1,23,free,5,1,2,4.0,0.88,59.4,975,facebook ads,1,occasional_users
100052,57,male,germany,ios,1.1,5,23.81,42.71,12,4,5,24,1,1,44,free,8,4,3,4.0,0.72,75.24,153,referral,1,occasional_users
100055,23,female,india,android,1.2,10,16.43,38.6,19,3,6,16,0,1,15,basic,11,3,0,2.0,0.01,45.31,1006,google ads,1,occasional_users
100058,46,male,india,ios,1.0,15,12.59,19.44,15,5,4,11,0,1,39,free,9,1,1,3.0,0.2,71.08,865,google ads,1,occasional_users
100062,27,male,singapore,android,2.0,7,15.82,52.95,15,1,4,5,1,1,29,free,6,5,1,4.0,0.54,53.92,879,referral,1,occasional_users
100075,43,male,usa,android,1.1,7,9.82,53.82,8,3,5,9,0,1,5,free,3,1,2,3.0,0.75,82.57,846,referral,1,occasional_users
100079,32,male,australia,android,2.1,3,32.47,51.59,6,9,3,5,0,2,26,premium,7,2,2,4.0,0.82,68.16,1111,google ads,1,occasional_users
100082,24,female,india,ios,1.0,8,4.78,46.27,7,6,3,12,0,1,2,free,6,2,2,4.0,0.25,76.9,80,google ads,1,occasional_users
100083,26,female,india,ios,1.2,11,1.87,24.05,12,6,0,8,0,1,40,basic,2,1,1,3.0,0.67,62.71,85,organic,1,occasional_users
100086,25,female,usa,web,1.1,7,15.71,57.07,9,5,2,5,0,1,1,free,5,3,2,3.0,0.64,74.99,180,organic,1,occasional_users
100091,52,male,singapore,web,2.1,11,3.0,36.3,15,10,2,20,0,2,1,basic,6,0,0,2.0,0.34,63.12,515,google ads,1,occasional_users
