user_id,age,gender,country,device_type,app_version,sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,subscription_type,ads_clicked_last_30_days,content_downloads,social_shares,rating_given,churn_risk_score,engagement_score,account_age_days,marketing_source,cluster,user_category
100001,46,male,uk,ios,1.0,8,24.44,42.03,7,7,3,7,0,0,7,free,8,3,3,3.0,0.87,82.39,1059,email campaign,2,moderate_engagement_users
100004,38,male,australia,android,1.0,10,12.85,57.06,13,7,3,15,0,0,21,basic,4,4,2,5.0,0.43,38.21,772,email campaign,2,moderate_engagement_users
100006,36,female,india,android,1.2,8,19.93,14.86,15,2,5,3,0,0,43,free,9,2,1,4.0,0.78,63.3,1161,google ads,2,moderate_engagement_users
100012,57,male,usa,ios,1.1,5,20.0,27.22,12,6,4,20,0,0,1,free,5,2,1,5.0,0.07,62.19,617,referral,2,moderate_engagement_users
100014,20,male,usa,ios,1.1,5,17.92,29.55,16,3,3,21,0,0,11,basic,5,0,5,5.0,0.98,51.33,691,google ads,2,moderate_engagement_users
100016,19,male,india,ios,1.0,7,16.36,65.07,8,9,7,11,0,0,29,free,8,1,3,4.0,0.25,73.52,618,google ads,2,moderate_engagement_users
100025,42,male,india,android,1.2,9,7.06,24.22,17,5,4,3,0,0,41,basic,7,3,1,5.0,0.19,79.11,1021,organic,2,moderate_engagement_users
100026,44,female,usa,android,1.2,7,16.42,32.61,14,9,6,19,0,0,2,premium,5,2,3,4.0,0.94,72.71,649,organic,2,moderate_engagement_users
100027,59,male,usa,android,1.2,11,3.73,67.78,9,9,2,17,0,0,33,free,5,1,2,3.0,0.27,35.2,631,referral,2,moderate_engagement_users
100030,32,female,usa,web,2.1,7,9.81,40.61,10,4,5,11,0,0,39,free,3,5,0,4.0,0.58,57.15,986,facebook ads,2,moderate_engagement_users
100036,56,female,usa,android,1.2,3,28.53,71.31,12,4,5,14,0,0,2,basic,8,5,2,5.0,0.43,71.31,847,organic,2,moderate_engagement_users
100044,37,male,canada,android,1.0,7,12.42,76.37,11,5,3,14,0,0,37,basic,8,5,2,4.0,0.7,43.1,913,google ads,2,moderate_engagement_users
100046,24,female,india,android,2.0,9,19.36,54.3,5,5,3,15,0,0,23,free,6,4,2,1.0,0.22,83.76,830,facebook ads,2,moderate_engagement_users
100047,25,female,usa,android,1.0,8,33.17,60.68,11,4,7,17,0,0,33,free,10,4,3,3.0,0.88,94.83,1090,google ads,2,moderate_engagement_users
100054,19,male,germany,ios,2.1,7,9.46,63.57,13,6,4,7,0,0,3,basic,6,3,3,4.0,0.63,59.02,677,organic,2,moderate_engagement_users
100060,43,other,india,ios,1.2,11,5.39,55.93,12,5,2,11,0,0,42,basic,1,4,4,4.0,0.94,55.7,608,organic,2,moderate_engagement_users
100061,51,male,india,android,1.2,3,5.83,93.11,14,3,9,12,0,0,26,free,2,3,4,2.0,0.36,66.11,1161,referral,2,moderate_engagement_users
100063,53,male,uk,web,2.1,6,15.91,43.81,13,7,4,18,0,0,44,free,3,1,1,3.0,0.04,92.94,1023,referral,2,moderate_engagement_users
100066,32,female,uk,web,2.0,5,16.15,34.77,14,5,7,18,0,0,19,free,8,2,3,5.0,0.69,76.78,1173,facebook ads,2,moderate_engagement_users
100070,57,female,germany,android,1.1,12,8.38,46.04,6,5,6,22,0,0,11,free,4,2,4,2.0,0.26,74.54,579,organic,2,moderate_engagement_users
100071,38,female,usa,android,2.1,6,7.01,38.98,10,5,8,6,0,0,40,premium,8,3,2,4.0,0.34,66.99,1195,organic,2,moderate_engagement_users
100072,33,female,usa,android,2.1,6,9.42,53.25,11,2,3,22,0,0,12,free,7,4,2,5.0,0.93,64.52,1180,organic,2,moderate_engagement_users
100073,35,female,australia,web,2.0,9,19.69,54.39,14,3,3,11,0,0,41,free,6,4,1,3.0,0.76,65.32,830,facebook ads,2,moderate_engagement_users
100074,41,male,germany,android,1.2,16,3.22,34.91,9,6,5,3,0,0,28,basic,9,1,2,4.0,0.52,75.9,1140,organic,2,moderate_engagement_users
100076,42,female,india,ios,1.0,8,16.09,51.21,16,8,6,4,0,0,26,basic,6,4,1,3.0,0.79,51.93,683,google ads,2,moderate_engagement_users
100077,58,female,india,android,1.1,6,12.48,5.0,13,6,4,20,0,0,30,premium,3,7,2,5.0,0.7,82.77,1048,google ads,2,moderate_engagement_users
100087,41,male,usa,web,1.1,13,14.05,16.52,15,5,2,18,0,0,38,free,2,4,0,3.0,0.21,59.01,1107,organic,2,moderate_engagement_users
100089,34,female,india,ios,2.1,8,7.35,17.64,17,9,4,9,0,0,16,premium,6,5,3,5.0,0.78,63.75,562,referral,2,moderate_engagement_users
