user_id,age,gender,country,device_type,app_version,sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,subscription_type,ads_clicked_last_30_days,content_downloads,social_shares,rating_given,churn_risk_score,engagement_score,account_age_days,marketing_source,cluster,user_category
100003,25,male,india,android,2.0,5,3.98,65.38,16,8,4,13,0,0,17,basic,6,3,1,3.0,0.43,62.81,92,organic,3,high_engagement_users
100005,56,male,india,android,1.0,12,10.51,25.39,14,7,6,14,0,0,4,free,7,3,1,5.0,0.65,91.45,50,email campaign,3,high_engagement_users
100007,40,female,uk,android,2.1,6,6.81,36.47,14,9,2,3,0,0,16,premium,5,6,4,1.0,0.51,84.81,104,organic,3,high_engagement_users
100009,28,male,singapore,android,1.2,8,29.84,47.77,10,6,4,19,0,0,25,free,3,4,2,3.0,0.19,55.92,373,facebook ads,3,high_engagement_users
100011,53,male,canada,android,2.1,6,3.45,45.83,7,3,2,8,0,0,21,basic,7,5,2,4.0,0.32,74.7,380,referral,3,high_engagement_users
100018,47,male,india,android,2.1,10,13.69,70.42,9,4,2,18,0,0,14,free,4,5,2,4.0,0.14,51.37,37,facebook ads,3,high_engagement_users
100019,55,male,usa,ios,2.1,7,10.02,41.47,7,5,4,16,0,0,34,basic,5,2,0,3.0,0.84,68.99,306,facebook ads,3,high_engagement_users
100022,50,female,india,ios,2.0,4,9.75,52.22,10,2,3,7,0,0,8,free,3,6,3,5.0,0.79,78.2,562,organic,3,high_engagement_users
100023,29,male,canada,ios,1.2,13,11.32,45.59,18,8,6,14,0,0,12,free,6,6,1,5.0,0.87,67.32,34,email campaign,3,high_engagement_users
100024,39,male,uk,android,2.0,9,8.14,77.63,15,5,4,17,0,0,28,free,4,6,1,2.0,0.18,82.69,255,referral,3,high_engagement_users
100032,54,female,india,android,2.1,9,13.45,29.45,18,10,7,16,0,0,22,basic,3,4,4,5.0,0.72,68.26,535,google ads,3,high_engagement_users
100033,24,male,india,ios,2.0,8,14.39,31.3,12,4,5,5,0,0,18,free,8,2,3,4.0,0.25,39.1,82,organic,3,high_engagement_users
